idx,doc_id,pays,annee,niveau,auteur,titre
1,berkhin_1980,СССР,1980,10,Берхин,История СССР 1938—1978 гг
2,aleksandrov_1947,СССР,1947,universite,Александров,Иосиф Виссарионович Сталин. Краткая биография
3,barsenkov_2010,Россия,2010,universite,Барсенков,История России. 1917–2009 
4,bekmakhanov_1977,СССР(Казахстан),1977,9|10,Бекмаханов,История Казахской ССР
5,berkhin_1972,СССР,1972,9|10,Берхин,История СССР.Переходная эпоха от капитализма к социализму 1917—1937
6,glazunova_2020,Россия,2020,universite,Глазунова,История России ХХ века
7,golubeva_1986,СССР,1986,4,Голубева,Методическое пособие по истории СССР
8,kasimenko_1965,СССР(Украина),1965,universite,Касименко,История украинской ССР
9,khromenkova_2012,Россия,2012,universite,Хроменкова,Отечественная история
10,naan_1952,СССР(Эстония),1952,ecole|universite,Наан,История Эстонской ССР с древнейших времен до наших дней
11,los_1972,СССР(Украина),1972,9|10,Лось,История украинской ССР
12,medinskiy_2023,Россия,2023,11,Мединский,История России. 1945 — начало XXI века
13,salfetnikov_2016,Россия,2016,universite,Салфетников,История России ХХ – начала XXI. Эволюция советского строя и становление новой российской государственности (1946–2016 гг.)
14,potseluev_1997,Россия,1997,universite,Поцелуев,История России XX столетия
15,pancratova_1952,CCCР,1952,10,Панкратова,История СССР
16,turlugulov_1974,СССР(Казахстан),1974,4,Турлугулов,Рассказы по истории Казахской ССР
17,shemyakov_1982,СССР(Молдавия),1982,9|10,Шемяков,История Молдавской ССР
18,volobuev_2010,Россия,2010,9,Волобуев,История России. XX – начало XXI века
19,tereshenko_2010,Россия,2010,??,Терещенко,История России XX – начала XXI веков
20,kiselev_2013,Россия,2013,11,Киселёв,История России. XX – начало XXI века. Базовый уровень: учебник
21,zemtsov_2013,Россия,2013,universite,Земцов,История России для студентов технических ВУЗов
22,ostrovsky_2001,Россия,2001,11,Островский,История России XX век