doc_id,pays,annee,niveau,auteur,titre
berkhin_1980,СССР,1980,9,Берхин,История России. Переходная эпоха от капитализма к социализму (1917 - 1037 гг.)
aleksandrov_1947,СССР,1947,universite,Александров,Иосиф Виссарионович Сталин. Краткая биография
barsenkov_2010,Россия,2010,universite,Барсенков,История России. 1917–2009 
bekmakhanov_1977,
berkhin_1972,
glazunova_2020,Россия,2020,universite,Глазунова,История России ХХ века
golubeva_1986,
kasimenko_1965,
khromenkova_2012,Россия,2012,universite,Хроменкова,Отечественная история
naan_1952,
los_1972,
medinskiy_2023,Россия,2023,11,Мединский,История России. 1945 год — начало XXI века
salfetnikov_2016,Россия,2016,universite,Салфетников,История России ХХ – начала XXI веков. Эволюция советского строя и становление новой российской государственности (1946–2016 гг.)
potseluev_1997,Россия,1997,universite,Поцелуев,История России XX столетия
pancratova_1952,CCCР,1952,10,Панкратова,История СССР
turlugulov_1974,
shemyakov_1982,